"PGA1" "stnm" "stlon" "stlat" "Repi" "siteClass" "AVS30" "event.num" "mag" "eq.type" "depth" "resids"
1.25736646655076 "FKSH17" 140.5974 37.6636 149.766795 "rock" 543 20040408020.69 5.6 "intra-plate" 49 -0.0407536801401271
1.17380145221345 "TCGH07" 139.4534 36.8817 161.58056 "hard-soil" 419 20040408020.69 5.6 "intra-plate" 49 0.0431131928910577
0.850138935423476 "FKSH16" 140.3766 37.7643 167.45121 "rock" 531 20040408020.69 5.6 "intra-plate" 49 -0.28919851484091
1.1007125724106 "SITH06" 139.2894 36.1131 170.374168 "hard-soil" 369 20040408020.69 5.6 "intra-plate" 49 -0.17216308555506
1.07202831781554 "MYGH10" 140.8924 37.9411 173.702991 "soft-soil" 347 20040408020.69 5.6 "intra-plate" 49 -0.196545576670467
0.485696730603014 "CHBH16" 139.9649 35.1384 175.632859 "hard-soil" 361 20040408020.69 5.6 "intra-plate" 49 -0.458600738341309
1.0387791489948 "SITH11" 139.2726 35.8637 179.143701 "hard-soil" 371 20040408020.69 5.6 "intra-plate" 49 0.149180092005581
0.783824856263402 "SITH10" 139.2191 35.9964 179.424188 "rock" 542 20040408020.69 5.6 "intra-plate" 49 -0.0197726960543387
0.552416446990799 "FKSH03" 139.7533 37.6078 183.870832 "soft-soil" 349 20040408020.69 5.6 "intra-plate" 49 -0.493152920643867
0.672638910421956 "MYGH09" 140.6027 38.0091 186.235142 "medium-soil" 358 20040408020.69 5.6 "intra-plate" 49 -0.444425367418729
0.7757173157116 "TKYH12" 139.265 35.6701 188.057179 "hard-soil" 325 20040408020.69 5.6 "intra-plate" 49 -0.118909301316552
0.335497216100747 "YMTH07" 140.0278 37.896 194.792892 "hard-soil" 371 20040408020.69 5.6 "intra-plate" 49 -0.611361199967539
0.301165040249508 "FKSH21" 139.3147 37.3421 195.088076 "hard-soil" 364 20040408020.69 5.6 "intra-plate" 49 -0.661962641580535
0.616229991972338 "KNGH18" 139.1283 35.6437 200.498749 "hard-soil" 388 20040408020.69 5.6 "intra-plate" 49 -0.103887388065443
0.835888209755184 "SITH08" 138.9691 36.0274 200.55077 "rock" 520 20040408020.69 5.6 "intra-plate" 49 -0.155811676357964
0.50990301327218 "GNMH11" 138.921 36.2862 200.798709 "hard-soil" 421 20040408020.69 5.6 "intra-plate" 49 -0.443203504292716
1.24218945251696 "MYGH07" 140.6405 38.1802 203.832141 "soft-soil" 365 20040408020.69 5.6 "intra-plate" 49 0.20308811717844
0.278004368505921 "NIGH08" 139.4648 37.6708 206.858829 "soft-soil" 326 20040408020.69 5.6 "intra-plate" 49 -0.606816307524906
-0.198712940816276 "YMTH05" 139.8017 37.9883 214.192721 "rock" 533 20040408020.69 5.6 "intra-plate" 49 -0.903484204490646
-0.0543891353364339 "NIGH12" 138.9821 37.2239 214.764098 "rock" 552 20040408020.69 5.6 "intra-plate" 49 -0.737497580671409
0.0730379727267618 "NIGH14" 138.8521 37.0303 217.591977 "hard-soil" 437 20040408020.69 5.6 "intra-plate" 49 -0.698445823421407
0.255548435698701 "YMNH14" 138.9675 35.5115 220.026705 "hard-soil" 309 20040408020.69 5.6 "intra-plate" 49 -0.43454180831973
-0.173054241245464 "NIGH07" 139.261 37.6658 220.031057 "rock" 528 20040408020.69 5.6 "intra-plate" 49 -0.844568982353189
0.0592096286352546 "NIGH09" 139.1279 37.5386 220.905508 "rock" 462 20040408020.69 5.6 "intra-plate" 49 -0.591159128291838
-0.108887567174791 "NIGH11" 138.744 37.1728 231.998367 "soft-soil" 375 20040408020.69 5.6 "intra-plate" 49 -0.730917855110897
0.38034422403481 "NIGH06" 139.0676 37.6527 232.598791 "hard-soil" 336 20040408020.69 5.6 "intra-plate" 49 -0.293294359183141
0.361264215312198 "NGNH19" 138.5845 35.9735 235.709943 "rock" 473 20040408020.69 5.6 "intra-plate" 49 -0.158294063669043
0.496517702866207 "GNMH08" 138.5244 36.4917 236.030385 "soft-soil" 338 20040408020.69 5.6 "intra-plate" 49 -0.259721233591415
0.178210935972632 "NIGH04" 139.5428 38.1313 240.353317 "soft-soil" 392 20040408020.69 5.6 "intra-plate" 49 -0.460490965598415
0.250970572801808 "YMTH14" 139.9916 38.386 244.268545 "medium-soil" 310 20040408020.69 5.6 "intra-plate" 49 -0.445118570934758
-0.0499858387780215 "SZOH38" 138.9779 35.0854 244.331698 "rock" 588 20040408020.69 5.6 "intra-plate" 49 -0.485234384355548
0.126167461627356 "MYGH06" 141.071 38.5907 244.359086 "rock" 593 20040408020.69 5.6 "intra-plate" 49 -0.58300045642974
0.487034811481525 "MYGH05" 140.7804 38.5793 245.218993 "soft-soil" 305 20040408020.69 5.6 "intra-plate" 49 -0.357368767914319
0.1161001064661 "NIGH02" 139.5486 38.2799 253.435813 "medium-soil" 359 20040408020.69 5.6 "intra-plate" 49 -0.476362006043194
0.092529765749504 "YMNH12" 138.449 35.5623 260.667744 "rock" 447 20040408020.69 5.6 "intra-plate" 49 -0.32051099960816
0.620458479625474 "NGNH11" 138.3052 35.9157 261.69731 "medium-soil" 372 20040408020.69 5.6 "intra-plate" 49 0.170698841688853
0.225777705146216 "YMTH11" 140.5544 38.7132 263.232716 "medium-soil" 411 20040408020.69 5.6 "intra-plate" 49 -0.335880371324942
-0.106691072023341 "YMTH12" 140.0055 38.6357 269.126562 "medium-soil" 366 20040408020.69 5.6 "intra-plate" 49 -0.621471235116164
0.556182087994596 "IWTH05" 141.3512 38.8654 275.294069 "hard-soil" 429 20040408020.69 5.6 "intra-plate" 49 -0.0947493719106443
-0.324951592931289 "SZOH39" 138.7724 34.7988 278.819598 "hard-soil" 376 20040408020.69 5.6 "intra-plate" 49 -0.671840236020611
-0.421781537510786 "NGNH27" 138.0479 36.577 279.09806 "hard-soil" 381 20040408020.69 5.6 "intra-plate" 49 -0.85555343460655
0.109667623816175 "SZOH34" 138.4243 35.1304 283.660741 "rock" 430 20040408020.69 5.6 "intra-plate" 49 -0.159516406001196
0.499975737526027 "IWTH26" 141.0013 38.969 286.561039 "hard-soil" 371 20040408020.69 5.6 "intra-plate" 49 -0.0778430199025292
0.315068721197531 "IWTH25" 140.8638 39.0092 291.831045 "hard-soil" 506 20040408020.69 5.6 "intra-plate" 49 -0.123236389135274
0.1011460674945 "AKTH06" 140.4952 38.9801 293.288373 "rock" 455 20040408020.69 5.6 "intra-plate" 49 -0.310170802333173
-0.34326185312002 "SZOH33" 138.3526 35.0146 295.895045 "rock" 519 20040408020.69 5.6 "intra-plate" 49 -0.497687260140287
0.0281009190567789 "NGNH21" 137.9236 35.8315 297.369731 "rock" 507 20040408020.69 5.6 "intra-plate" 49 -0.152335414506273
-0.216481599258029 "YMTH08" 140.0333 38.9701 302.942826 "hard-soil" 320 20040408020.69 5.6 "intra-plate" 49 -0.595004932477346
-0.030656320739275 "NGNH24" 137.8797 35.6152 307.457753 "soft-soil" 464 20040408020.69 5.6 "intra-plate" 49 -0.169203835608785
-0.317679796509119 "NGNH10" 137.7669 35.9632 308.352312 "rock" 511 20040408020.69 5.6 "intra-plate" 49 -0.413594170455221
0.504385218518726 "IWTH04" 141.3909 39.1809 310.470619 "rock" 455 20040408020.69 5.6 "intra-plate" 49 0.0586704139874372
-0.121774728922959 "NGNH13" 137.8767 35.5143 311.20809 "rock" 513 20040408020.69 5.6 "intra-plate" 49 -0.172174671021184
0.268419060295027 "AKTH04" 140.7129 39.174 311.435114 "hard-soil" 458 20040408020.69 5.6 "intra-plate" 49 -0.0543686210393474
0.193300785948975 "IWTH24" 141.0118 39.1979 311.907653 "soft-soil" 486 20040408020.69 5.6 "intra-plate" 49 -0.176374340590424
-0.325873097532552 "NGNH30" 137.6849 36.064 313.961162 "rock" 456 20040408020.69 5.6 "intra-plate" 49 -0.409841353855649
-0.409153708653455 "NGNH20" 137.7173 35.787 316.648977 "rock" 529 20040408020.69 5.6 "intra-plate" 49 -0.393948466343771
